Slowo1;Slowo2;Relacja
SMEP;WIOSNA;Nie-słowo
DZIEWCIA;DŁUGOPIS;Nie-słowo
DYWAN;INPAS;Nie-słowo
LIGMA;GRY;Nie-słowo
MOERYK;ROWER;Nie-słowo
ABLANS;ROŚLINA;Nie-słowo
MARMUR;STÓŁ;Nie-słowo
OGRÓD;GWIAZDA;Niepowiązane
APTEKA;LAMPA;Niepowiązane
GORYWAR;ROZRYWKA;Nie-słowo
WIADOMOŚĆ;TELEFON;Powiązane
BIURKO;NOC;Niepowiązane
OŁÓWEK;GUMKA;Powiązane
ROWTWA;POMPON;Nie-słowo
LATO;GORĄCO;Powiązane
SŁOŃCE;KSIĘŻYC;Powiązane
PLANIKA;PIES;Nie-słowo
MISKRA;SMUTEK;Nie-słowo
KRZYSTY;RĘKAWICZKI;Nie-słowo
CZWARTEK;PONIEDZIAŁEK;Powiązane
PRZEDSZKOLE;KLUCZ;Niepowiązane
ZEGAR;UŚMIECH;Niepowiązane
TELOK;UŚMIECH;Nie-słowo
WBOT;BUŁKA;Nie-słowo
PARK;ROZRYWKA;Niepowiązane
ŚWIATŁO;LAMPA;Powiązane
NAUCZYCIEL;TOM;Niepowiązane
KRZESŁO;GRY;Niepowiązane
PŁACZ;SMUTEK ;Powiązane
MOLKT;NOC;Nie-słowo
SZPITAL;DRZWI;Niepowiązane
CZAS;ZEGAR;Powiązane
SIKSA;ŚWIĘTA;Nie-słowo
PRZYJACIEL;PLANETA;Niepowiązane
ZGLIT;KRZAK;Nie-słowo
SOBOTA;WEEKEND;Powiązane
KLAMKA;DRZWI;Powiązane
SZIWAR;SZKOLR;Nie-słowo
DESZCZ;PARASOLKA;Powiązane
TERTA;KOSIARKA;Nie-słowo
DENTYSTA;ROWER;Niepowiązane
NORDYNE;ROZKWIT;Nie-słowo
ROBET;ZEGAREK;Nie-słowo
MAMA;ZIMA;Niepowiązane
WIAK;HOTDOG;Nie-słowo
MIKOŁAJ;ELF;Powiązane
CIOCIA;SŁOŃCE;Niepowiązane
KILOF;SKAŁA;Powiązane
CZIWT;SZCZĘŚCIE;Nie-słowo
WIEŚ;UCZUCIE;Niepowiązane
KUKLOK;UBRANIA;Nie-słowo
STOŁG;MROŹNO;Nie-słowo
LICEUM;PAKIET;Niepowiązane
MECHANIK;STÓŁ;Niepowiązane
LÓD;WODA;Powiązane
HOŁET;GWIAZDA;Nie-słowo
TABLICA ;KREDA;Powiązane
JABŁKO;FURTKA;Niepowiązane
WUJEK;KSIĘŻYC;Niepowiązane
ZAMEK;KLUCZ;Powiązane
DRZWI;NOCNIK;Niepowiązane
GŁAZ;IGZA;Nie-słowo
CHIPAJ;KONTEP;Nie-słowo
ŚNIEG;RĘKAWICZKI;Powiązane
SZOWAL;ZIEMIA;Nie-słowo
KOT;PIES;Powiązane
PIERNINA;PONIEDZIAŁEK;Nie-słowo
SZKRAB;MOŁEJK;Nie-słowo
IGREL;PASTA;Nie-słowo
SZKOLR;UŚMIECH;Nie-słowo
KOLEGA;BIURKO;Niepowiązane
UNIWERSYTET;DŁUGOPIS;Niepowiązane
DOM;PEGAZ;Niepowiązane
ATRAMENT;PIÓRO;Powiązane
CHMURA;SMOG;Powiązane
PLECAK;LATO;Niepowiązane
MITAL;PONIEDZIAŁEK;Nie-słowo
KOKTAŁ;RADIO;Nie-słowo
SMOK;LATO;Nie-słowo
MAŁPA;TĘCZA;Nie-słowo
KOT;BŁYSKAWICZNY;Niepowiązane
CHIPAJ;GORĄCO;Nie-słowo
SŁUCHAWKI;MUZYKA;Powiązane
ŁUPO;NIEDZIELA;Nie-słowo
GILMA;SOBOTA;Nie-słowo
ZGLIT;WBOT;Nie-słowo
DZIADEK;KRZAK;Niepowiązane
SZOWAL;MYLIR;Nie-słowo
LREFT;WEEKEND;Nie-słowo
DŁUGOPIS;BURZA;Niepowiązane
RZEKA;PTAK;Niepowiązane
SZIWAR;OGRÓD;Nie-słowo
WICZK;OBERL;Nie-słowo
MORZE;GRY;Niepowiązane
BIBLIOTEKA;POMPON;Niepowiązane
MOŁEJK;TOM;Nie-słowo
ROBACZEK;JABŁKO;Powiązane
KWIAT;PSZCZOŁA;Powiązane
UMOP;FURTKA;Nie-słowo
SMOK;KRUT;Nie-słowo
PIEKARNIA;TELEFON;Niepowiązane
SZKORTY;KLUCZ;Nie-słowo
GŁAZ;SAMOCHÓD;Nie-słowo
NOGI;STÓŁ;Powiązane
IGREL;MROŹNO;Nie-słowo
WANNA;KĄPIEL ;Powiązane
OBRAZ;ŚCIANA;Powiązane
HOŁET;PIORUN;Nie-słowo
PIERNIK;ŚWIĘTA;Powiązane
GRYWTA;MARS;Nie-słowo
PIESNA;TELEFON;Nie-słowo
ŻMÓR;ŹRÓDŁO;Nie-słowo
IWET;SMOG;Nie-słowo
LIJWET;KOSZTAP;Nie-słowo
CHOPIE;ŚRODA ;Nie-słowo
ZĘBY;PASTA;Powiązane
OCEAN;BRAMA;Niepowiązane
WTOREK;ŚRODA ;Powiązane
PIKOT;SŁOŃCE;Nie-słowo
SAMOCHÓD;ŹRÓDŁO;Niepowiązane
LEKARZ;SAMOCHÓD;Niepowiązane
PTAS;WTOREK;Nie-słowo
HOŁET;ABLANS;Nie-słowo
SIOSTRA;JESIEŃ;Niepowiązane
GRYFEN;METEOR;Nie-słowo
BRAT;PONIEDZIAŁEK;Niepowiązane
SZKOŁA;SZCZĘŚCIE;Niepowiązane
ŁĄKA;TRAWA;Powiązane
BURZA;PIORUN;Powiązane
GIESZA;RODZIC;Nie-słowo
GIEWL;BUDZIK;Nie-słowo
KLUCZ;ROZRYWKA;Niepowiązane
ROWER;MROŹNO;Niepowiązane
KOSZTAP;GORĄCO;Nie-słowo
LIJWET;BIURKO;Nie-słowo
PTAS;MOLKT;Nie-słowo
DOMIK;PIASEK;Nie-słowo
DOMIK;ZEGAR;Nie-słowo
DZIECKO;RODZIC;Powiązane
MOERYK;GRUBY;Nie-słowo
DRZEWO;LIŚĆ;Powiązane
IWET;PLANETA;Nie-słowo
GARAŻ;SAMOCHÓD;Powiązane
AMYGT;UCZUCIE;Nie-słowo
KUCHARZ;MIASTO;Niepowiązane
FRAMUGA;OKNO;Powiązane
CZAJNIK;JESIEŃ;Nie-słowo
FAFLOK;KSIĘŻYC;Nie-słowo
CHIPAJ;OKNO;Nie-słowo
FRYZJER;KRZESŁO;Niepowiązane
ONIKA;PEGAZ;Nie-słowo
KUZYNKA;GWIAZDA;Niepowiązane
TRAWA;KOSIARKA;Powiązane
KARTKA;CHMURA;Niepowiązane
FARMA;WIEŚ;Powiązane
LAMPA;ZMARTWIENIE;Niepowiązane
ANTENA;RADIO;Powiązane
FURTKA;PORANEK;Nie-słowo
KOMPUTER;PORANEK;Niepowiązane
MIGAL;WODA;Nie-słowo
IGZA;CZERWIEŃ;Nie-słowo
LIJWET;SŁOŃCE;Nie-słowo
PIES;SPOKÓJ;Niepowiązane
GÓRY;UŚMIECH;Niepowiązane
NIEDZIELA;WTORKIEM;Powiązane
BABCIA;WTOREK;Niepowiązane
WIOSNA;ROZKWIT;Powiązane
SMUTEK ;PIESNA;Nie-słowo
DOM;OGRÓD;Powiązane
KITSA;ELF;Nie-słowo
PONIEDZIAŁEK;NIEDZIELA;Powiązane
MYLIR;GWIAZDA;Nie-słowo
MIASTOŁ;ROZRYWKA;Nie-słowo
KNAŻBA;DRZWI;Nie-słowo
ROBET;WIATR;Nie-słowo
WIECZÓR ;NOC;Powiązane
GWIAZDA;METEOR;Powiązane
BUDYNKI;MIASTO;Powiązane
KROWA;BYK;Powiązane
RDIEP;WTORKIEM;Nie-słowo
TYNK;NOCNIK;Nie-słowo
ŚCIANA;KNAŻBA;Nie-słowo
GRUBY;LETNIE;Nie-słowo
BIUSKO;GŁOŚNIK;Nie-słowo
HOLWOT;TYNK;Nie-słowo
KELNER;WIEŚ;Niepowiązane
CESZA;NOC;Nie-słowo
DYWAN;MIASTO;Nie-słowo
IGROW;WRZESIEŃ;Nie-słowo
