Slowo1;Slowo2;Relacja
DRZEWO;LIŚĆ;Powiązane
KWIAT;PSZCZOŁA;Powiązane
TRAWA;KOSIARKA;Powiązane
PODUSZKA;KOŁDRA;Powiązane
ZIEMIA;MARS;Powiązane
SŁOŃCE;KSIĘŻYC;Powiązane
SŁUCHAWKI;MUZYKA;Powiązane
GWIAZDA;METEOR;Powiązane
KOT;PIES;Powiązane
SZAFA;UBRANIA;Powiązane
LÓD;WODA;Powiązane
DESZCZ;PARASOLKA;Powiązane
ŚNIEG;RĘKAWICZKI;Powiązane
WIATR;PODMUCH;Powiązane
BURZA;PIORUN;Powiązane
CHMURA;SMOG;Powiązane
TĘCZA;SŁOŃCE;Powiązane
LATO;GORĄCO;Powiązane
ZIMA;BAŁWAN;Powiązane
WIOSNA;ROZKWIT;Powiązane
JESIEŃ;WRZESIEŃ;Powiązane
PONIEDZIAŁEK;NIEDZIELA;Powiązane
WTOREK;ŚRODA ;Powiązane
ŚRODA ;WTOREK;Powiązane
CZWARTEK;PONIEDZIAŁEK;Powiązane
PIĄTEK;SOBOTA;Powiązane
NIEDZIELA;WTORKIEM;Powiązane
SOBOTA;WEEKEND;Powiązane
PORANEK ;BUDZIK;Powiązane
WIECZÓR ;NOC;Powiązane
BURGER;HOTDOG;Powiązane
KILOF;SKAŁA;Powiązane
PLAŻA;PIASEK;Powiązane
PŁACZ;SMUTEK ;Powiązane
MIŁOŚĆ;UCZUCIE;Powiązane
TABLICA ;KREDA;Powiązane
OBRAZ;ŚCIANA;Powiązane
ZASŁONA;KARNISZ;Powiązane
ZĘBY;PASTA;Powiązane
PIERNIK;ŚWIĘTA;Powiązane
MIKOŁAJ;ELF;Powiązane
WANNA;KĄPIEL ;Powiązane
DZIECKO;RODZIC;Powiązane
OŁÓWEK;GUMKA;Powiązane
ŁADOWARKA;KABEL;Powiązane
NAUCZYCIEL;UCZEŃ;Powiązane
ROBACZEK;JABŁKO;Powiązane
MYSZKA;KOMPUTER;Powiązane
KRZESŁO;BIURKO;Powiązane
FRAMUGA;OKNO;Powiązane
DOM;OGRÓD;Powiązane
GARAŻ;SAMOCHÓD;Powiązane
DZWONEK;ROWER;Powiązane
BUDYNKI;MIASTO;Powiązane
FARMA;WIEŚ;Powiązane
NOGI;STÓŁ;Powiązane
KROWA;BYK;Powiązane
CZAS;ZEGAR;Powiązane
WIADOMOŚĆ;TELEFON;Powiązane
ANTENA;RADIO;Powiązane
ŚWIATŁO;LAMPA;Powiązane
KLAMKA;DRZWI;Powiązane
ZAMEK;KLUCZ;Powiązane
ATRAMENT;PIÓRO;Powiązane
TUSZ;DŁUGOPIS;Powiązane
ROBET;ZEGAREK;Nie-słowo
WICZK;OBERL;Nie-słowo
PIASEK;TUKET;Nie-słowo
MAŁPA;CZIWT;Nie-słowo
SMOK;KRUT;Nie-słowo
SZKRAB;MOŁEJK;Nie-słowo
SMEP;DELFIN;Nie-słowo
CZAJNIK;UMOP;Nie-słowo
MITAL;FURTKA;Nie-słowo
PTAS;MOLKT;Nie-słowo
ZGLIT;WBOT;Nie-słowo
SZOWAL;MYLIR;Nie-słowo
PIKOT;ŻMÓR;Nie-słowo
MIKET;IGREL;Nie-słowo
HOŁET;ABLANS;Nie-słowo
IWET;AMYGT;Nie-słowo
LIJWET;KOSZTAP;Nie-słowo
CHIPAJ;KONTEP;Nie-słowo
SZIWAR;SZKOLR;Nie-słowo
GŁAZ;IGZA;Nie-słowo
MOERYK;GRUBY;Nie-słowo
DYWAN;INPAS;Nie-słowo
HOLWOT;TYNK;Nie-słowo
MARMUR;GORYWAR;Nie-słowo
ONIKA;PEGAZ;Nie-słowo
OBERL;SPOKÓJ;Nie-słowo
TUKET;BŁYSKAWICZNY;Nie-słowo
CZIWT;SZCZĘŚCIE;Nie-słowo
KRUT;PSY;Nie-słowo
MOŁEJK;TOM;Nie-słowo
DELFIN;BRAMA;Nie-słowo
UMOP;FURTKA;Nie-słowo
FURTKA;PORANEK;Nie-słowo
MOLKT;NOC;Nie-słowo
WBOT;BUŁKA;Nie-słowo
MYLIR;GWIAZDA;Nie-słowo
ŻMÓR;ŹRÓDŁO;Nie-słowo
IGREL;MROŹNO;Nie-słowo
ABLANS;ROŚLINA;Nie-słowo
AMYGT;UCZUCIE;Nie-słowo
KOSZTAP;GORĄCO;Nie-słowo
KONTEP;GRY;Nie-słowo
SZKOLR;UŚMIECH;Nie-słowo
IGZA;CZERWIEŃ;Nie-słowo
GRUBY;LETNIE;Nie-słowo
INPAS;ZMARTWIENIE;Nie-słowo
TYNK;NOCNIK;Nie-słowo
GORYWAR;ROZRYWKA;Nie-słowo
ROBET;WIATR;Nie-słowo
WICZK;BURZA;Nie-słowo
PIASEK;CHMURA;Nie-słowo
MAŁPA;TĘCZA;Nie-słowo
SMOK;LATO;Nie-słowo
SZKRAB;ZIMA;Nie-słowo
SMEP;WIOSNA;Nie-słowo
CZAJNIK;JESIEŃ;Nie-słowo
MITAL;PONIEDZIAŁEK;Nie-słowo
PTAS;WTOREK;Nie-słowo
ZGLIT;KRZAK;Nie-słowo
SZOWAL;ZIEMIA;Nie-słowo
PIKOT;SŁOŃCE;Nie-słowo
MIKET;KSIĘŻYC;Nie-słowo
HOŁET;GWIAZDA;Nie-słowo
IWET;PLANETA;Nie-słowo
LIJWET;BIURKO;Nie-słowo
CHIPAJ;OKNO;Nie-słowo
SZIWAR;OGRÓD;Nie-słowo
GŁAZ;SAMOCHÓD;Nie-słowo
MOERYK;ROWER;Nie-słowo
DYWAN;MIASTO;Nie-słowo
HOLWOT;WIEŚ;Nie-słowo
MARMUR;STÓŁ;Nie-słowo
ONIKA;KRZESŁO;Nie-słowo
DOMIK;ZEGAR;Nie-słowo
PIESNA;TELEFON;Nie-słowo
KOKTAŁ;RADIO;Nie-słowo
TŁINS;LAMPA;Nie-słowo
KNAŻBA;DRZWI;Nie-słowo
SZKORTY;KLUCZ;Nie-słowo
NAUCOT;PAKIET;Nie-słowo
DZIEWCIA;DŁUGOPIS;Nie-słowo
BIUSKO;GŁOŚNIK;Nie-słowo
ROWTWA;POMPON;Nie-słowo
MIASTOŁ;ROZRYWKA;Nie-słowo
MISKRA;SMUTEK;Nie-słowo
STOŁG;MROŹNO;Nie-słowo
TELOK;UŚMIECH;Nie-słowo
RAPEL;PTAK;Nie-słowo
BRATKAŁ;LETNIE;Nie-słowo
LIGMA;GRY;Nie-słowo
KOLIEK;BRAMA;Nie-słowo
ONIKA;ŻYTO;Nie-słowo
DENTRIA;TRAWA;Nie-słowo
APTEGRA;LIŚĆ;Nie-słowo
LICUM;PSZCZOŁA;Nie-słowo
TERTA;KOSIARKA;Nie-słowo
TYRTWA;KOŁDRA;Nie-słowo
GRYWTA;MARS;Nie-słowo
FAFLOK;KSIĘŻYC;Nie-słowo
ŚROT;MUZYKA;Nie-słowo
GRYFEN;METEOR;Nie-słowo
PLANIKA;PIES;Nie-słowo
KUKLOK;UBRANIA;Nie-słowo
MIGAL;WODA;Nie-słowo
PRYWY;PARASOLKA;Nie-słowo
KRZYSTY;RĘKAWICZKI;Nie-słowo
MIKET;PODMUCH;Nie-słowo
HOŁET;PIORUN;Nie-słowo
IWET;SMOG;Nie-słowo
LIJWET;SŁOŃCE;Nie-słowo
CHIPAJ;GORĄCO;Nie-słowo
SZIWAR;BAŁWAN;Nie-słowo
NORDYNE;ROZKWIT;Nie-słowo
IGROW;WRZESIEŃ;Nie-słowo
ŁUPO;NIEDZIELA;Nie-słowo
CHOPIE;ŚRODA ;Nie-słowo
CHIPAJ;WTOREK;Nie-słowo
PIERNINA;PONIEDZIAŁEK;Nie-słowo
GILMA;SOBOTA;Nie-słowo
RDIEP;WTORKIEM;Nie-słowo
LREFT;WEEKEND;Nie-słowo
GIEWL;BUDZIK;Nie-słowo
CESZA;NOC;Nie-słowo
WIAK;HOTDOG;Nie-słowo
ONIKA;SKAŁA;Nie-słowo
DOMIK;PIASEK;Nie-słowo
SMUTEK ;PIESNA;Nie-słowo
UCZUCIE;KOKTAŁ;Nie-słowo
KREDA;TŁINS;Nie-słowo
ŚCIANA;KNAŻBA;Nie-słowo
KARNISZ;GLIWS;Nie-słowo
IGREL;PASTA;Nie-słowo
SIKSA;ŚWIĘTA;Nie-słowo
KITSA;ELF;Nie-słowo
SLAB;KĄPIEL ;Nie-słowo
GIESZA;RODZIC;Nie-słowo
